Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Seguridad\InspeccionController.cs,307,24,M:System.TimeSpan.FromSeconds(System.Double),,,,,"if (await Task.WhenAny(imgTask, Task.Delay(TimeSpan.FromSeconds(15))) == imgTask)                              await imgTask;                          else                              _logger.LogWarning(""▶▶ ActualizarFoto: TIMEOUT guardando imagen"");"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Seguridad\InspeccionController.cs,225,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,"if (await Task.WhenAny(imgTask, Task.Delay(TimeSpan.FromSeconds(15))) == imgTask)                          await imgTask;                      else                          _logger.LogWarning(""▶▶ AC: TIMEOUT 15s guardando imagen en red ({Ms}ms)"", sw.ElapsedMilliseconds);"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Seguridad\InspeccionController.cs,30,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_rutaSeguridad = configuration.GetValue<string>(""RutaSeguridad"")                  ?? throw new InvalidOperationException(                      ""La clave 'RutaSeguridad' no está definida en appsettings.json."");"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Seguridad\InspeccionController.cs,30,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_rutaSeguridad = configuration.GetValue<string>(""RutaSeguridad"")                  ?? throw new InvalidOperationException(                      ""La clave 'RutaSeguridad' no está definida en appsettings.json."");"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,393,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,359,0,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,builder.Services.Configure<MenuOptions>(      builder.Configuration.GetSection(MenuOptions.Seccion));
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,337,8,M:System.TimeSpan.FromMinutes(System.Double),,,,,policy.Window              = TimeSpan.FromMinutes(5);
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,310,0,M:Microsoft.Extensions.DependencyInjection.RazorRuntimeCompilationMvcBuilderExtensions.AddRazorRuntimeCompilation(Microsoft.Extensions.DependencyInjection.IMvcBuilder),,,,,"builder.Services.AddControllersWithViews()      .AddRazorRuntimeCompilation()   // ← recarga .cshtml sin reiniciar en Development      .AddRazorOptions(options =>      {          // Permite que Views/Produccion/{Controller}/{Action}.cshtml sea encontrado automáticamente          options.ViewLocationFormats.Add(""/Views/Produccion/{1}/{0}.cshtml"");          // Permite que Views/Sgc/{Controller}/{Action}.cshtml sea encontrado automáticamente          options.ViewLocationFormats.Add(""/Views/Sgc/{1}/{0}.cshtml"");          // Permite que Views/Ventas/{Controller}/{Action}.cshtml sea encontrado automáticamente          options.ViewLocationFormats.Add(""/Views/Ventas/{1}/{0}.cshtml"");          // Permite que Views/RecursosHumanos/Aquarius/{Controller}/{Action}.cshtml sea encontrado          options.ViewLocationFormats.Add(""/Views/RecursosHumanos/Aquarius/{1}/{0}.cshtml"");          // Permite que Views/Seguridad/{Controller}/{Action}.cshtml sea encontrado automáticamente          options.ViewLocationFormats.Add(""/Views/Seguridad/{1}/{0}.cshtml"");          // Permite que Views/CreditosCobranza/{Controller}/{Action}.cshtml sea encontrado automáticamente          options.ViewLocationFormats.Add(""/Views/CreditosCobranza/{1}/{0}.cshtml"");          // Permite que Views/Sistemas/{Controller}/{Action}.cshtml sea encontrado automáticamente          options.ViewLocationFormats.Add(""/Views/Sistemas/{1}/{0}.cshtml"");      });"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,306,4,M:System.TimeSpan.FromSeconds(System.Double),,,,,client.Timeout = TimeSpan.FromSeconds(60);
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Program.cs,304,4,T:System.Uri,,,,,"client.BaseAddress = new Uri(          builder.Configuration[""DocumentExtractor:BaseUrl""] ?? ""https://localhost:7200/"");"
